Lineage,Country,Localitynew,Latitude,Longitude_c,Island,Sex,Bill,Wing
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.334,0,NA,196,290
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.3345,0,NA,202,297
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.3365,0,NA,192,287
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.337,0,NA,200,287
Tyto alba,Congo_Belge_Zaire,Mahagi,2.29,30.97,0,NA,193,286
Tyto alba,Congo_Belge_Zaire,Merode,-6.26,23.24,0,1,183,297
Tyto alba,Congo_Belge_Zaire,Mulumbu,-7.66,19.2,0,2,185,283
Tyto alba,Congo_Belge_Zaire,Mulumbu,-7.66,19.2005,0,1,191,296
Tyto alba,Congo_Belge_Zaire,Mulumbu,-7.66,19.201,0,2,194,297
Tyto alba,Congo_Belge_Zaire,Mulumbu,-7.66,19.202,0,2,175,278
Tyto alba,Congo_Belge_Zaire,ParcNationalGaramba,4.07,29.4515,0,1,192,292
Tyto alba,Congo_Belge_Zaire,ParcNationalGaramba,4.07,29.452,0,2,190,286
Tyto alba,Congo_Belge_Zaire,ParcNationalGaramba,4.07,29.4525,0,2,202,287
Tyto alba,Congo_Belge_Zaire,ParcNationalGaramba,4.07,29.453,0,2,205,305
Tyto alba,Congo_Belge_Zaire,ParcNationalGaramba,4.07,29.4535,0,NA,182,290
Tyto alba,Congo_Belge_Zaire,Pempéré,-11.23,26.79,0,2,195,284
Tyto alba,Rwanda,Rubona,-2.55,29.5805,0,2,185,291
Tyto alba,Rwanda,Rubona,-2.55,29.58,0,1,195,288
Tyto alba,Congo_Belge_Zaire,Gomba,4.23,24.87,0,NA,184,281
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.29,0,1,191,296
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2905,0,1,179,311
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.291,0,1,184,275
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2915,0,1,181,270
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2925,0,1,183,295
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.293,0,1,184,300
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.294,0,2,195,303
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2945,0,1,192,294
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.295,0,1,208,291
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2955,0,1,196,293
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.296,0,1,191,296
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2965,0,2,199,299
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.297,0,2,206,296
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2975,0,2,195,295
